Facility ID,Facility Name,Address,City/Town,State,ZIP Code,County/Parish,Telephone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for promoting interoperability of EHRs,Meets criteria for birthing friendly designation,Hospital overall rating,Hospital overall rating footnote,MORT Group Measure Count,Count of Facility MORT Measures,Count of MORT Measures Better,Count of MORT Measures No Different,Count of MORT Measures Worse,MORT Group Footnote,Safety Group Measure Count,Count of Facility Safety Measures,Count of Safety Measures Better,Count of Safety Measures No Different,Count of Safety Measures Worse,Safety Group Footnote,READM Group Measure Count,Count of Facility READM Measures,Count of READM Measures Better,Count of READM Measures No Different,Count of READM Measures Worse,READM Group Footnote,Pt Exp Group Measure Count,Count of Facility Pt Exp Measures,Pt Exp Group Footnote,TE Group Measure Count,Count of Facility TE Measures,TE Group Footnote,,Latitude,Longitude
390163,ACMH HOSPITAL,ONE NOLTE DRIVE,KITTANNING,PA,16201,ARMSTRONG,(724) 543-8500,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,1,,7,2,0,2,0,,8,5,0,5,0,,11,9,0,9,0,,8,8,,12,10,,,40.8107265,-79.5624534
670102,"AD HOSPITAL EAST, LLC","12950 EAST FREEWAY, SUITE 100",HOUSTON,TX,77015,HARRIS,(713) 330-3897,Acute Care Hospitals,Proprietary,Yes,,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5,8,2,0,2,0,,11,3,0,3,0,,8,Not Available,5,12,4,,,29.7706323,-95.2003588
174022,ADAIR ACUTE CARE AT OSAWATOMIE STATE HOSPITAL,500 STATE HOSPITAL DRIVE,OSAWATOMIE,KS,66064,MIAMI,(913) 755-7100,Psychiatric,Government - State,No,,,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,19,Not Available,Not Available,19,,38.5101213,-94.9400329
161310,ADAIR COUNTY MEMORIAL HOSPITAL,609 SE KENT,GREENFIELD,IA,50849,ADAIR,(641) 743-2123,Critical Access Hospitals,Government - Local,Yes,Y,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5,8,Not Available,Not Available,Not Available,Not Available,5,11,1,0,1,0,,8,Not Available,5,12,3,,,41.3038341,-94.4517377
361326,ADAMS COUNTY REGIONAL MEDICAL CENTER,230 MEDICAL CENTER DRIVE,SEAMAN,OH,45679,ADAMS,(937) 386-3400,Critical Access Hospitals,Government - Local,Yes,Y,,2,,7,3,0,3,0,,8,1,0,1,0,,11,6,0,6,0,,8,Not Available,5,12,3,,,38.9339242,-83.5847767
151330,ADAMS MEMORIAL HOSPITAL,1100 MERCER AVE,DECATUR,IN,46733,ADAMS,(260) 724-2145,Critical Access Hospitals,Government - Local,Yes,Y,Y,Not Available,16,7,2,0,2,0,,8,1,0,1,0,,11,5,1,4,0,,8,8,,12,9,,,40.8173831,-84.9150675
220062,ADCARE HOSPITAL OF WORCESTER INC,107 LINCOLN STREET,WORCESTER,MA,1605,WORCESTER,(508) 799-9000,Acute Care Hospitals,Proprietary,No,Y,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5,8,1,1,0,0,,11,1,0,0,1,,8,Not Available,5,12,2,,,42.2763338,-71.7948449
361331,ADENA FAYETTE MEDICAL CENTER,1430 COLUMBUS AVENUE,WASHINGTON CH,OH,43160,FAYETTE,(740) 333-2719,Critical Access Hospitals,Government - Local,Yes,Y,,Not Available,16,7,1,0,1,0,,8,1,0,1,0,,11,7,0,7,0,,8,Not Available,5,12,8,,,39.5480387,-83.4272233
361334,ADENA PIKE MEDICAL CENTER,100 DAWN LANE,WAVERLY,OH,45690,PIKE,(740) 947-2186,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5,8,1,0,1,0,,11,3,0,3,0,,8,Not Available,5,12,7,,,39.1164703,-83.0040568
360159,ADENA REGIONAL MEDICAL CENTER,272 HOSPITAL ROAD,CHILLICOTHE,OH,45601,ROSS,(740) 779-7500,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,3,,7,7,0,7,0,,8,8,2,6,0,,11,11,0,11,0,,8,8,,12,11,,,39.3962346,-82.9683385
330079,ADIRONDACK MEDICAL CENTER - SARANAC LAKE,"2233 STATE ROUTE 86, PO BOX 471",SARANAC LAKE,NY,12983,FRANKLIN,(518) 891-4141,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,Y,2,,7,2,0,2,0,,8,4,0,4,0,,11,9,0,9,0,,8,8,,12,9,,,44.3456201,-74.1434758
670321,ADVANCED DALLAS HOSPITALS AND CLINICS,7502 GREENVILLE AVENUE,DALLAS,TX,75231,DALLAS,(214) 221-6000,Acute Care Hospitals,Proprietary,Yes,,,Not Available,5,Not Available,Not Available,Not Available,Not Available,Not Available,5,Not Available,Not Available,Not Available,Not Available,Not Available,5,Not Available,Not Available,Not Available,Not Available,Not Available,5,Not Available,Not Available,5,Not Available,Not Available,5,,32.883752,-96.75802
390323,ADVANCED SURGICAL HOSPITAL,100 TRICH DRIVE,WASHINGTON,PA,15301,WASHINGTON,(724) 884-0710,Acute Care Hospitals,Physician,No,Y,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5,8,2,0,2,0,,11,3,0,2,1,,8,8,,12,2,,,40.1565061,-80.2790841
60125,ADVENTHEALTH CASTLE ROCK,2350 MEADOWS BLVD,CASTLE ROCK,CO,80109,DOUGLAS,(720) 455-5000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,4,,7,4,0,4,0,,8,5,1,4,0,,11,7,0,7,0,,8,8,,12,9,,,39.4052753,-104.8839168
450152,ADVENTHEALTH CENTRAL TEXAS,2201 S CLEAR CREEK ROAD,KILLEEN,TX,76542,BELL,(254) 526-7523,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,Y,4,,7,6,0,5,1,,8,7,1,6,0,,11,7,0,6,1,,8,8,,12,11,,,31.1136397,-97.8014947
100211,ADVENTHEALTH DADE CITY,13100 FT KING RD,DADE CITY,FL,33525,PASCO,(352) 568-1100,Acute Care Hospitals,Proprietary,No,Y,,4,,7,5,0,5,0,,8,4,1,3,0,,11,6,0,5,1,,8,8,,12,7,,,28.3479242,-82.2003932
100068,ADVENTHEALTH DAYTONA BEACH,301 MEMORIAL MEDICAL PARKWAY,DAYTONA BEACH,FL,32117,VOLUSIA,(386) 676-6000,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,Y,5,,7,7,1,6,0,,8,7,3,4,0,,11,9,0,7,2,,8,8,,12,10,,,29.243628,-81.1081795
100045,ADVENTHEALTH DELAND,701 W PLYMOUTH AVE,DELAND,FL,32720,VOLUSIA,(386) 943-4772,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,,4,,7,6,0,6,0,,8,7,2,5,0,,11,7,0,6,1,,8,8,,12,7,,,29.0439173,-81.317309
100072,ADVENTHEALTH FISH MEMORIAL,1055 SAXON BLVD,ORANGE CITY,FL,32763,VOLUSIA,(386) 917-5000,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,Y,4,,7,6,0,6,0,,8,7,1,6,0,,11,8,0,7,1,,8,8,,12,9,,,28.9142384,-81.285777
110023,ADVENTHEALTH GORDON,1035 RED BUD ROAD,CALHOUN,GA,30701,GORDON,(706) 629-2895,Acute Care Hospitals,Voluntary non-profit - Church,No,Y,Y,4,,7,6,0,6,0,,8,5,0,5,0,,11,8,0,8,0,,8,8,,12,10,,,34.5115733,-84.9262082
100137,ADVENTHEALTH HEART OF FLORIDA,40100 HWY 27,DAVENPORT,FL,33837,POLK,(863) 422-4971,Acute Care Hospitals,Proprietary,Yes,Y,Y,1,,7,6,0,6,0,,8,7,0,5,2,,11,8,0,7,1,,8,8,,12,8,,,28.1814928,-81.6416944
340023,ADVENTHEALTH HENDERSONVILLE,100 HOSPITAL DRIVE,HENDERSONVILLE,NC,28792,HENDERSON,(828) 684-8501,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,5,,7,4,0,4,0,,8,5,0,5,0,,11,9,1,8,0,,8,8,,12,8,,,35.3891123,-82.4879558
100099,ADVENTHEALTH LAKE WALES,410 S 11TH ST,LAKE WALES,FL,33853,POLK,(863) 676-1433,Acute Care Hospitals,Proprietary,Yes,Y,,1,,7,4,0,4,0,,8,3,0,3,0,,11,6,0,5,1,,8,8,,12,7,,,27.895852,-81.565518
110050,ADVENTHEALTH MURRAY,"707 OLD DALTON ELLIJAY ROAD, PO BOX 1406",CHATSWORTH,GA,30705,MURRAY,(706) 517-2031,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,,Not Available,16,7,2,0,2,0,,8,Not Available,Not Available,Not Available,Not Available,5,11,4,2,2,0,,8,Not Available,5,12,7,,,34.7799726,-84.7831554
100014,ADVENTHEALTH NEW SMYRNA BEACH,401 PALMETTO ST,NEW SMYRNA BEACH,FL,32170,VOLUSIA,(386) 424-5100,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,,3,,7,6,0,6,0,,8,6,0,5,1,,11,10,0,10,0,,8,8,,12,7,,,29.0202552,-80.9217533
100055,ADVENTHEALTH NORTH PINELLAS,1395 S PINELLAS AVE,TARPON SPRINGS,FL,34689,PINELLAS,(727) 942-5000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,,3,,7,6,0,6,0,,8,6,1,5,0,,11,8,0,7,1,,8,8,,12,7,,,28.1323928,-82.7578905
100062,ADVENTHEALTH OCALA,1500 SW 1ST AVE,OCALA,FL,34474,MARION,(352) 351-7200,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,Y,3,,7,7,0,7,0,,8,7,6,1,0,,11,9,0,8,1,,8,8,,12,8,,,29.1753113,-82.1388933
100007,ADVENTHEALTH ORLANDO,601 E ROLLINS ST,ORLANDO,FL,32803,ORANGE,(407) 303-1976,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,3,,7,7,3,4,0,,8,8,6,2,0,,11,11,0,4,7,,8,8,,12,10,,,28.5751245,-81.3696726
170014,ADVENTHEALTH OTTAWA,1301 S MAIN STREET,OTTAWA,KS,66067,FRANKLIN,(785) 229-8200,Acute Care Hospitals,Government - Local,No,Y,Y,2,,7,3,0,3,0,,8,2,0,2,0,,11,9,1,8,0,,8,8,,12,8,,,38.5963561,-95.2677091
100363,ADVENTHEALTH PALM COAST PARKWAY,1 ADVENTHEALTH WAY,PALM COAST,FL,32137,FLAGLER,(386) 302-1800,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,,Not Available,5,Not Available,Not Available,Not Available,Not Available,Not Available,5,Not Available,Not Available,Not Available,Not Available,Not Available,5,Not Available,Not Available,Not Available,Not Available,Not Available,5,Not Available,Not Available,5,Not Available,Not Available,5,,29.551974,-81.244047
451323,ADVENTHEALTH ROLLINS BROOK,608 NORTH KEY AVENUE,LAMPASAS,TX,76550,LAMPASAS,(512) 556-3682,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,,Not Available,16,7,1,0,1,0,,8,Not Available,Not Available,Not Available,Not Available,5,11,3,0,3,0,,8,Not Available,5,12,6,,,31.072363,-98.1862471
100109,ADVENTHEALTH SEBRING,4200 SUN N LAKE BLVD,SEBRING,FL,33872,HIGHLANDS,(863) 314-4466,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,3,,7,6,1,5,0,,8,6,2,4,0,,11,9,0,8,1,,8,8,,12,9,,,27.5396502,-81.5105882
170104,ADVENTHEALTH SHAWNEE MISSION,9100 W 74TH STREET,SHAWNEE MISSION,KS,66204,JOHNSON,(913) 676-2152,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,Y,4,,7,7,0,7,0,,8,8,2,6,0,,11,11,0,10,1,,8,8,,12,11,,,38.9957891,-94.6915135
100173,ADVENTHEALTH TAMPA,3100 E FLETCHER AVE,TAMPA,FL,33613,HILLSBOROUGH,(813) 615-7200,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,2,,7,7,0,7,0,,8,8,2,6,0,,11,9,1,6,2,,8,8,,12,9,,,28.0713627,-82.4234311
100057,ADVENTHEALTH WATERMAN,1000 WATERMAN WAY,TAVARES,FL,32778,LAKE,(352) 253-3300,Acute Care Hospitals,Voluntary non-profit - Church,No,Y,Y,4,,7,7,0,7,0,,8,7,1,6,0,,11,9,0,9,0,,8,8,,12,10,,,28.8240952,-81.7118549
101300,ADVENTHEALTH WAUCHULA,735 S 5TH AVE,WAUCHULA,FL,33873,HARDEE,(863) 773-3101,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5,8,1,0,1,0,,11,Not Available,Not Available,Not Available,Not Available,5,8,8,,12,5,,,27.5393581,-81.8069785
100319,ADVENTHEALTH WESLEY CHAPEL,2600 BRUCE B DOWNS BLVD,WESLEY CHAPEL,FL,33544,PASCO,(813) 929-5490,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,4,,7,6,0,6,0,,8,7,1,6,0,,11,8,0,8,0,,8,8,,12,9,,,28.1952918,-82.3519704
50133,ADVENTIST HEALTH AND RIDEOUT,726 4TH ST,MARYSVILLE,CA,95901,YUBA,(530) 749-4300,Acute Care Hospitals,Government - Federal,Yes,Y,Y,2,,7,7,0,7,0,,8,7,2,5,0,,11,11,0,9,2,,8,8,,12,10,,,39.1381501,-121.5942332
50455,ADVENTIST HEALTH BAKERSFIELD,2615 CHESTER AVENUE,BAKERSFIELD,CA,93301,KERN,(661) 395-3000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,2,,7,6,0,5,1,,8,7,2,5,0,,11,10,0,10,0,,8,8,,12,11,,,35.3833744,-119.0206543
120006,ADVENTIST HEALTH CASTLE,640 ULUKAHIKI ST,KAILUA,HI,96734,HONOLULU,(808) 263-5142,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,Y,5,,7,6,0,6,0,,8,6,2,4,0,,11,10,1,9,0,,8,8,,12,9,,,21.3808543,-157.7577795
51317,ADVENTIST HEALTH CLEARLAKE,15630 18TH AVE - HWY 53,CLEARLAKE,CA,95422,LAKE,(707) 994-6486,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,,3,,7,4,0,4,0,,8,1,0,1,0,,11,6,0,6,0,,8,8,,12,6,,,38.9356322,-122.6201815
50608,ADVENTIST HEALTH DELANO,1401 GARCES HIGHWAY,DELANO,CA,93215,KERN,(661) 725-4800,Acute Care Hospitals,Proprietary,Yes,,Y,Not Available,16,7,2,0,2,0,,8,2,1,0,1,,11,4,0,4,0,,8,8,,12,8,,,35.7623437,-119.2389723
50121,ADVENTIST HEALTH HANFORD,115 MALL DRIVE,HANFORD,CA,93230,KINGS,(209) 410-7200,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,1,,7,6,0,4,2,,8,7,1,6,0,,11,7,0,6,1,,8,8,,12,11,,,36.3232171,-119.667877
51310,ADVENTIST HEALTH HOWARD MEMORIAL,1 MARCELA DR,WILLITS,CA,95490,MENDOCINO,(707) 456-3031,Critical Access Hospitals,Voluntary non-profit - Church,Yes,Y,,5,,7,3,0,3,0,,8,3,0,3,0,,11,7,1,5,1,,8,8,,12,6,,,39.3897847,-123.3388366
50336,ADVENTIST HEALTH LODI MEMORIAL,975 S FAIRMONT AVENUE,LODI,CA,95240,SAN JOAQUIN,(209) 334-3411,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,Y,3,,7,5,0,5,0,,8,6,1,4,1,,11,6,1,5,0,,8,8,,12,10,,,38.1214679,-121.2869098
380060,ADVENTIST HEALTH PORTLAND,10123 SE MARKET STREET,PORTLAND,OR,97216,MULTNOMAH,(503) 257-2500,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,Y,2,,7,7,0,7,0,,8,7,1,6,0,,11,8,1,6,1,,8,8,,12,11,,,45.5128537,-122.5585121
50192,ADVENTIST HEALTH REEDLEY,372 W CYPRESS AVE,REEDLEY,CA,93654,FRESNO,(559) 638-8155,Acute Care Hospitals,Voluntary non-profit - Private,No,Y,Y,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5,8,1,0,1,0,,11,1,0,1,0,,8,8,,12,7,,,36.6081792,-119.4531164
50335,ADVENTIST HEALTH SONORA,1000 GREENLEY ROAD,SONORA,CA,95370,TUOLUMNE,(209) 536-5000,Acute Care Hospitals,Voluntary non-profit - Church,No,Y,Y,2,,7,6,0,6,0,,8,5,0,4,1,,11,10,1,8,1,,8,8,,12,11,,,37.9773582,-120.3711158
50013,ADVENTIST HEALTH ST HELENA,10 WOODLAND ROAD,SAINT HELENA,CA,94574,NAPA,(707) 963-3611,Acute Care Hospitals,Voluntary non-profit - Private,No,Y,,5,,7,7,0,7,0,,8,5,0,5,0,,11,11,1,10,0,,8,8,,12,8,,,38.5425498,-122.4748281
51301,ADVENTIST HEALTH TEHACHAPI VALLEY,1100 MAGELLAN,TEHACHAPI,CA,93561,KERN,(661) 868-6800,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,,Not Available,16,7,2,0,2,0,,8,2,0,2,0,,11,4,0,4,0,,8,8,,12,6,,,35.1476985,-118.4509007
381317,ADVENTIST HEALTH TILLAMOOK,1000 THIRD STREET,TILLAMOOK,OR,97141,TILLAMOOK,(503) 815-2260,Critical Access Hospitals,Voluntary non-profit - Church,Yes,Y,,3,,7,3,0,3,0,,8,1,0,1,0,,11,6,0,6,0,,8,8,,12,4,,,45.4568775,-123.854225
50784,ADVENTIST HEALTH TULARE,869 NORTH CHERRY STREET,TULARE,CA,93274,TULARE,(559) 688-0821,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,Not Available,16,7,2,0,2,0,,8,2,0,2,0,,11,4,0,4,0,,8,8,,12,7,,,36.2211168,-119.3385333
50301,ADVENTIST HEALTH UKIAH VALLEY,275 HOSPITAL DRIVE,UKIAH,CA,95482,MENDOCINO,(707) 462-3111,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,Y,5,,7,4,0,4,0,,8,5,1,4,0,,11,9,1,7,1,,8,8,,12,11,,,39.1530652,-123.2028906
54074,ADVENTIST HEALTH VALLEJO,525 OREGON ST,VALLEJO,CA,94590,SOLANO,(707) 648-2200,Psychiatric,Voluntary non-profit - Private,No,,,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,19,Not Available,Not Available,19,,38.11784,-122.2490219
50103,ADVENTIST HEALTH WHITE MEMORIAL,1720 CESAR E CHAVEZ AVENUE,LOS ANGELES,CA,90033,LOS ANGELES,(323) 268-5000,Acute Care Hospitals,Voluntary non-profit - Church,No,Y,Y,3,,7,4,0,4,0,,8,6,1,5,0,,11,6,0,5,1,,8,8,,12,8,,,34.0503652,-118.2173967
50350,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO,309 W BEVERLY BLVD,MONTEBELLO,CA,90640,LOS ANGELES,(323) 726-1222,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,Y,2,,7,4,0,4,0,,8,5,1,3,1,,11,4,0,2,2,,8,8,,12,9,,,34.0155611,-118.1000602
